feature,coefficient,abs_coefficient
cat__checking_account_status_A14,-0.9874104012435769,0.9874104012435769
cat__purpose_A46,0.9585263769520598,0.9585263769520598
cat__purpose_A41,-0.8870803358585284,0.8870803358585284
cat__credit_history_A34,-0.852002925629862,0.852002925629862
cat__savings_account_A64,-0.6767919714125495,0.6767919714125495
cat__foreign_worker_A202,-0.6514212311882539,0.6514212311882539
cat__property_A124,0.6353502315423692,0.6353502315423692
cat__checking_account_status_A11,0.6207966208754522,0.6207966208754522
cat__employment_since_A74,-0.595362334040772,0.595362334040772
cat__credit_history_A30,0.5899477976843006,0.5899477976843006
cat__purpose_A410,-0.589430222456851,0.589430222456851
cat__savings_account_A61,0.5845775771857491,0.5845775771857491
cat__purpose_A45,0.57341662918971,0.57341662918971
cat__foreign_worker_A201,0.5683029610621071,0.5683029610621071
cat__personal_status_sex_A93,-0.5359982706884694,0.5359982706884694
cat__housing_A153,-0.5058503478595158,0.5058503478595158
cat__purpose_A40,0.4884967641310814,0.4884967641310814
cat__housing_A151,0.46039797715047787,0.46039797715047787
cat__other_debtors_A103,-0.4522359185004501,0.4522359185004501
cat__other_installment_plans_A143,-0.44632540867382164,0.44632540867382164
cat__other_installment_plans_A141,0.4280266825604248,0.4280266825604248
cat__personal_status_sex_A91,0.40545415577060795,0.40545415577060795
cat__property_A121,-0.39241664230115475,0.39241664230115475
num__credit_amount,0.37496710858874055,0.37496710858874055
cat__other_debtors_A102,0.3722495818505618,0.3722495818505618
num__installment_rate,0.3718308318710433,0.3718308318710433
cat__employment_since_A71,0.36744084552848433,0.36744084552848433
cat__savings_account_A65,-0.3495675512015923,0.3495675512015923
cat__purpose_A48,-0.3414734736054037,0.3414734736054037
cat__job_A171,-0.32666028158935745,0.32666028158935745
num__duration_months,0.30511715578836396,0.30511715578836396
cat__employment_since_A72,0.28584300656152917,0.28584300656152917
cat__credit_history_A31,0.27753980349583235,0.27753980349583235
cat__savings_account_A62,0.23637646313071,0.23637646313071
cat__checking_account_status_A12,0.23503957193227426,0.23503957193227426
cat__purpose_A43,-0.22881452760373852,0.22881452760373852
cat__telephone_A192,-0.21462316477407264,0.21462316477407264
cat__property_A122,-0.19619825153821152,0.19619825153821152
cat__telephone_A191,0.13150489464792536,0.13150489464792536
cat__property_A123,-0.12985360782915079,0.12985360782915079
cat__savings_account_A63,0.1222872121715342,0.1222872121715342
cat__job_A172,0.11965897294720755,0.11965897294720755
cat__purpose_A49,-0.11018793543269925,0.11018793543269925
cat__job_A173,0.10892315204386722,0.10892315204386722
num__existing_credits,0.10349730527598111,0.10349730527598111
num__dependents,0.09968077795434425,0.09968077795434425
cat__purpose_A42,0.08589471342061253,0.08589471342061253
cat__employment_since_A73,-0.08020551407963696,0.08020551407963696
cat__other_installment_plans_A142,-0.06481954401275238,0.06481954401275238
cat__employment_since_A75,-0.06083427409575299,0.06083427409575299
num__age,-0.05932726561462382,0.05932726561462382
cat__personal_status_sex_A92,0.056236274283461014,0.056236274283461014
cat__credit_history_A33,-0.05338310781203692,0.05338310781203692
cat__checking_account_status_A13,0.04845593830970181,0.04845593830970181
cat__credit_history_A32,-0.045219837864382974,0.045219837864382974
cat__housing_A152,-0.0376658994171097,0.0376658994171097
cat__purpose_A44,-0.03246625886239138,0.03246625886239138
num__residence_since,-0.020756934897977777,0.020756934897977777
cat__job_A174,0.014959886472133884,0.014959886472133884
cat__personal_status_sex_A94,-0.008810429491749238,0.008810429491749238
cat__other_debtors_A101,-0.003131933476258691,0.003131933476258691
