threshold,precision,recall,f1,tn,fp,fn,tp,business_cost
0.1,0.33714285714285713,0.9833333333333333,0.502127659574468,24,116,1,59,121
0.15,0.34782608695652173,0.9333333333333333,0.5067873303167421,35,105,4,56,125
0.2,0.3724137931034483,0.9,0.526829268292683,49,91,6,54,121
0.25,0.40458015267175573,0.8833333333333333,0.5549738219895288,62,78,7,53,113
0.3,0.424,0.8833333333333333,0.572972972972973,68,72,7,53,107
0.35,0.4473684210526316,0.85,0.5862068965517241,77,63,9,51,108
0.4,0.4854368932038835,0.8333333333333334,0.6134969325153374,87,53,10,50,103
0.45,0.5208333333333334,0.8333333333333334,0.6410256410256411,94,46,10,50,96
0.5,0.5581395348837209,0.8,0.6575342465753424,102,38,12,48,98
0.55,0.5679012345679012,0.7666666666666667,0.6524822695035462,105,35,14,46,105
0.6,0.5833333333333334,0.7,0.6363636363636364,110,30,18,42,120
0.65,0.6206896551724138,0.6,0.6101694915254238,118,22,24,36,142
0.7,0.6862745098039216,0.5833333333333334,0.6306306306306306,124,16,25,35,141
0.75,0.7027027027027027,0.43333333333333335,0.5360824742268041,129,11,34,26,181
0.8,0.71875,0.38333333333333336,0.5,131,9,37,23,194
0.85,0.75,0.25,0.375,135,5,45,15,230
0.9,0.7272727272727273,0.13333333333333333,0.22535211267605634,137,3,52,8,263
